kanal,kategori,yorum_sayisi,ort_compound,pozitif_oran,notr_oran,negatif_oran
Al Jazeera English,ateskes,499,-0.1286,0.3888,0.0581,0.5531
Al Jazeera English,genel,551,-0.157,0.3575,0.0762,0.5662
Al Jazeera English,hormuz,683,-0.1929,0.3426,0.063,0.5944
Al Jazeera English,ilk_saldir,469,-0.1705,0.3454,0.0746,0.58
Al Jazeera English,sivil_kayip,582,-0.2058,0.3316,0.0601,0.6082
BBC News,ateskes,680,-0.2002,0.3147,0.0809,0.6044
BBC News,genel,809,-0.2299,0.314,0.0742,0.6119
BBC News,hormuz,655,-0.1927,0.3511,0.0687,0.5802
BBC News,ilk_saldir,691,-0.2546,0.3169,0.0535,0.6295
BBC News,sivil_kayip,291,-0.2369,0.2887,0.079,0.6323
CNN,ateskes,738,-0.2029,0.3509,0.0678,0.5813
CNN,genel,693,-0.1808,0.3449,0.0736,0.5815
CNN,hormuz,830,-0.2318,0.3446,0.0482,0.6072
CNN,ilk_saldir,588,-0.2134,0.3197,0.0714,0.6088
CNN,sivil_kayip,632,-0.2388,0.3101,0.057,0.6329
Fox News,ateskes,622,-0.0908,0.4084,0.0691,0.5225
Fox News,genel,612,-0.1319,0.3562,0.098,0.5458
Fox News,hormuz,766,-0.2314,0.3016,0.0809,0.6175
Fox News,ilk_saldir,429,-0.0721,0.4149,0.0699,0.5152
Fox News,sivil_kayip,465,-0.0012,0.4409,0.0989,0.4602
Iran International,genel,34,0.2973,0.6176,0.0294,0.3529
Iran International,ilk_saldir,32,-0.1186,0.3438,0.2188,0.4375
